Diameter,BG,PE,PVC,PMMA
4,"$2,995,126.57 ","$1,930,408.34 ","$2,291,623.07 ","$2,843,263.69 "
5,"$3,939,484.24 ","$1,996,598.96 ","$2,455,074.93 ","$2,973,076.23 "
5,"$3,930,066.71 ","$1,987,181.43 ","$2,445,657.40 ","$2,963,658.70 "
4,"$2,984,980.00 ","$1,920,261.76 ","$2,281,476.50 ","$2,833,117.12 "
4,"$2,998,003.30 ","$1,933,285.06 ","$2,294,499.79 ","$2,846,140.42 "
4,"$2,985,650.32 ","$1,920,932.08 ","$2,282,146.82 ","$2,833,787.44 "
2,"$2,128,158.44 ","$1,790,078.26 ","$1,956,770.53 ","$2,575,689.79 "
2,"$2,118,740.91 ","$1,780,660.72 ","$1,947,352.99 ","$2,566,272.26 "
3,"$2,438,702.81 ","$1,852,778.12 ","$2,116,731.63 ","$2,702,011.57 "
4,"$2,991,639.64 ","$1,926,921.40 ","$2,288,136.14 ","$2,839,776.76 "
2,"$2,129,900.98 ","$1,791,820.79 ","$1,958,513.06 ","$2,577,432.33 "
6,"$5,580,698.46 ","$2,069,021.08 ","$2,624,758.28 ","$3,109,120.26 "
2,"$2,121,331.79 ","$1,783,251.61 ","$1,949,943.88 ","$2,568,863.14 "
6,"$5,568,324.68 ","$2,056,647.31 ","$2,612,384.51 ","$3,096,746.48 "
2,"$2,120,006.57 ","$1,781,926.39 ","$1,948,618.66 ","$2,567,537.92 "
6,"$5,577,116.58 ","$2,065,439.20 ","$2,621,176.40 ","$3,105,538.38 "
4,"$2,983,685.07 ","$1,918,966.83 ","$2,280,181.57 ","$2,831,822.19 "
3,"$2,443,190.01 ","$1,857,265.31 ","$2,121,218.82 ","$2,706,498.76 "
2,"$2,121,331.79 ","$1,783,251.61 ","$1,949,943.88 ","$2,568,863.14 "
3,"$2,436,691.31 ","$1,850,766.62 ","$2,114,720.12 ","$2,700,000.07 "
2,"$2,130,808.05 ","$1,792,727.87 ","$1,959,420.14 ","$2,578,339.40 "
3,"$2,436,051.29 ","$1,850,126.60 ","$2,114,080.10 ","$2,699,360.04 "
4,"$2,994,219.50 ","$1,929,501.26 ","$2,290,716.00 ","$2,842,356.62 "
5,"$3,942,133.85 ","$1,999,248.57 ","$2,457,724.54 ","$2,975,725.84 "
2,"$2,130,808.05 ","$1,792,727.87 ","$1,959,420.14 ","$2,578,339.40 "
4,"$2,988,497.09 ","$1,923,778.86 ","$2,284,993.59 ","$2,836,634.21 "
6,"$5,574,668.20 ","$2,062,990.82 ","$2,618,728.02 ","$3,103,090.00 "
2,"$2,129,900.98 ","$1,791,820.79 ","$1,958,513.06 ","$2,577,432.33 "
6,"$5,573,892.88 ","$2,062,215.50 ","$2,617,952.70 ","$3,102,314.68 "
4,"$2,998,003.30 ","$1,933,285.06 ","$2,294,499.79 ","$2,846,140.42 "
6,"$5,573,892.88 ","$2,062,215.50 ","$2,617,952.70 ","$3,102,314.68 "
5,"$3,934,766.64 ","$1,991,881.36 ","$2,450,357.33 ","$2,968,358.63 "
2,"$2,129,018.09 ","$1,790,937.91 ","$1,957,630.18 ","$2,576,549.44 "
5,"$3,945,010.57 ","$2,002,125.29 ","$2,460,601.26 ","$2,978,602.56 "
5,"$3,937,035.87 ","$1,994,150.59 ","$2,452,626.56 ","$2,970,627.85 "
6,"$5,572,398.98 ","$2,060,721.60 ","$2,616,458.80 ","$3,100,820.78 "
6,"$5,572,398.98 ","$2,060,721.60 ","$2,616,458.80 ","$3,100,820.78 "
3,"$2,444,005.86 ","$1,858,081.17 ","$2,122,034.67 ","$2,707,314.61 "
4,"$2,986,336.59 ","$1,921,618.36 ","$2,282,833.09 ","$2,834,473.71 "
4,"$2,987,039.41 ","$1,922,321.17 ","$2,283,535.91 ","$2,835,176.53 "
2,"$2,129,900.98 ","$1,791,820.79 ","$1,958,513.06 ","$2,577,432.33 "
2,"$2,118,740.91 ","$1,780,660.72 ","$1,947,352.99 ","$2,566,272.26 "
5,"$3,937,831.07 ","$1,994,945.79 ","$2,453,421.75 ","$2,971,423.05 "
2,"$2,119,366.55 ","$1,781,286.36 ","$1,947,978.63 ","$2,566,897.90 "
4,"$2,984,980.00 ","$1,920,261.76 ","$2,281,476.50 ","$2,833,117.12 "
4,"$2,983,059.43 ","$1,918,341.19 ","$2,279,555.93 ","$2,831,196.55 "
3,"$2,444,005.86 ","$1,858,081.17 ","$2,122,034.67 ","$2,707,314.61 "
3,"$2,435,425.65 ","$1,849,500.96 ","$2,113,454.46 ","$2,698,734.40 "
5,"$3,941,226.78 ","$1,998,341.50 ","$2,456,817.47 ","$2,974,818.77 "
6,"$5,577,116.58 ","$2,065,439.20 ","$2,621,176.40 ","$3,105,538.38 "
6,"$5,571,679.02 ","$2,060,001.64 ","$2,615,738.84 ","$3,100,100.82 "
4,"$2,993,336.62 ","$1,928,618.38 ","$2,289,833.11 ","$2,841,473.73 "
4,"$2,990,028.59 ","$1,925,310.35 ","$2,286,525.09 ","$2,838,165.71 "
5,"$3,930,692.35 ","$1,987,807.07 ","$2,446,283.04 ","$2,964,284.34 "
2,"$2,129,900.98 ","$1,791,820.79 ","$1,958,513.06 ","$2,577,432.33 "
6,"$5,573,136.71 ","$2,061,459.33 ","$2,617,196.53 ","$3,101,558.51 "
2,"$2,128,158.44 ","$1,790,078.26 ","$1,956,770.53 ","$2,575,689.79 "
6,"$5,567,699.04 ","$2,056,021.66 ","$2,611,758.87 ","$3,096,120.84 "
5,"$3,932,657.60 ","$1,989,772.32 ","$2,448,248.28 ","$2,966,249.58 "
3,"$2,442,394.81 ","$1,856,470.12 ","$2,120,423.62 ","$2,705,703.56 "
6,"$5,571,679.02 ","$2,060,001.64 ","$2,615,738.84 ","$3,100,100.82 "
4,"$2,992,476.96 ","$1,927,758.73 ","$2,288,973.46 ","$2,840,614.08 "
5,"$3,931,987.28 ","$1,989,102.00 ","$2,447,577.97 ","$2,965,579.27 "
6,"$5,573,136.71 ","$2,061,459.33 ","$2,617,196.53 ","$3,101,558.51 "
2,"$2,123,440.84 ","$1,785,360.65 ","$1,952,052.93 ","$2,570,972.19 "
2,"$2,119,366.55 ","$1,781,286.36 ","$1,947,978.63 ","$2,566,897.90 "
2,"$2,122,720.88 ","$1,784,640.70 ","$1,951,332.97 ","$2,570,252.23 "
5,"$3,936,260.55 ","$1,993,375.27 ","$2,451,851.24 ","$2,969,852.54 "
4,"$2,990,823.79 ","$1,926,105.55 ","$2,287,320.29 ","$2,838,960.91 "
5,"$3,944,024.66 ","$2,001,139.38 ","$2,459,615.34 ","$2,977,616.64 "
6,"$5,577,116.58 ","$2,065,439.20 ","$2,621,176.40 ","$3,105,538.38 "
5,"$3,936,260.55 ","$1,993,375.27 ","$2,451,851.24 ","$2,969,852.54 "
4,"$2,990,823.79 ","$1,926,105.55 ","$2,287,320.29 ","$2,838,960.91 "
4,"$2,985,650.32 ","$1,920,932.08 ","$2,282,146.82 ","$2,833,787.44 "
6,"$5,577,116.58 ","$2,065,439.20 ","$2,621,176.40 ","$3,105,538.38 "
4,"$2,996,058.85 ","$1,931,340.61 ","$2,292,555.34 ","$2,844,195.97 "
3,"$2,435,425.65 ","$1,849,500.96 ","$2,113,454.46 ","$2,698,734.40 "
4,"$2,988,497.09 ","$1,923,778.86 ","$2,284,993.59 ","$2,836,634.21 "
5,"$3,939,484.24 ","$1,996,598.96 ","$2,455,074.93 ","$2,973,076.23 "
4,"$2,984,980.00 ","$1,920,261.76 ","$2,281,476.50 ","$2,833,117.12 "
6,"$5,570,976.21 ","$2,059,298.83 ","$2,615,036.03 ","$3,099,398.01 "
5,"$3,929,454.97 ","$1,986,569.69 ","$2,445,045.66 ","$2,963,046.96 "
6,"$5,571,679.02 ","$2,060,001.64 ","$2,615,738.84 ","$3,100,100.82 "
4,"$2,984,325.09 ","$1,919,606.86 ","$2,280,821.59 ","$2,832,462.21 "
6,"$5,574,668.20 ","$2,062,990.82 ","$2,618,728.02 ","$3,103,090.00 "
4,"$2,998,003.30 ","$1,933,285.06 ","$2,294,499.79 ","$2,846,140.42 "
4,"$2,987,759.36 ","$1,923,041.13 ","$2,284,255.86 ","$2,835,896.48 "
4,"$2,990,028.59 ","$1,925,310.35 ","$2,286,525.09 ","$2,838,165.71 "
3,"$2,443,190.01 ","$1,857,265.31 ","$2,121,218.82 ","$2,706,498.76 "
6,"$5,568,324.68 ","$2,056,647.31 ","$2,612,384.51 ","$3,096,746.48 "
3,"$2,443,190.01 ","$1,857,265.31 ","$2,121,218.82 ","$2,706,498.76 "
3,"$2,444,843.18 ","$1,858,918.49 ","$2,122,871.99 ","$2,708,151.94 "
5,"$3,940,343.89 ","$1,997,458.61 ","$2,455,934.58 ","$2,973,935.88 "
4,"$2,984,325.09 ","$1,919,606.86 ","$2,280,821.59 ","$2,832,462.21 "
2,"$2,119,366.55 ","$1,781,286.36 ","$1,947,978.63 ","$2,566,897.90 "
3,"$2,443,190.01 ","$1,857,265.31 ","$2,121,218.82 ","$2,706,498.76 "
2,"$2,131,740.32 ","$1,793,660.14 ","$1,960,352.41 ","$2,579,271.67 "
2,"$2,131,740.32 ","$1,793,660.14 ","$1,960,352.41 ","$2,579,271.67 "
5,"$3,930,066.71 ","$1,987,181.43 ","$2,445,657.40 ","$2,963,658.70 "
3,"$2,438,016.54 ","$1,852,091.85 ","$2,116,045.35 ","$2,701,325.29 "
6,"$5,568,324.68 ","$2,056,647.31 ","$2,612,384.51 ","$3,096,746.48 "
6,"$5,577,116.58 ","$2,065,439.20 ","$2,621,176.40 ","$3,105,538.38 "
2,"$2,129,018.09 ","$1,790,937.91 ","$1,957,630.18 ","$2,576,549.44 "
2,"$2,126,505.26 ","$1,788,425.08 ","$1,955,117.35 ","$2,574,036.61 "
3,"$2,448,425.07 ","$1,862,500.37 ","$2,126,453.88 ","$2,711,733.82 "
5,"$3,942,133.85 ","$1,999,248.57 ","$2,457,724.54 ","$2,975,725.84 "
5,"$3,937,831.07 ","$1,994,945.79 ","$2,453,421.75 ","$2,971,423.05 "
3,"$2,438,702.81 ","$1,852,778.12 ","$2,116,731.63 ","$2,702,011.57 "
4,"$2,987,759.36 ","$1,923,041.13 ","$2,284,255.86 ","$2,835,896.48 "
3,"$2,443,190.01 ","$1,857,265.31 ","$2,121,218.82 ","$2,706,498.76 "
6,"$5,567,087.31 ","$2,055,409.93 ","$2,611,147.13 ","$3,095,509.11 "
4,"$2,988,497.09 ","$1,923,778.86 ","$2,284,993.59 ","$2,836,634.21 "
5,"$3,930,066.71 ","$1,987,181.43 ","$2,445,657.40 ","$2,963,658.70 "
4,"$2,982,447.69 ","$1,917,729.46 ","$2,278,944.19 ","$2,830,584.81 "
3,"$2,444,843.18 ","$1,858,918.49 ","$2,122,871.99 ","$2,708,151.94 "
4,"$2,983,059.43 ","$1,918,341.19 ","$2,279,555.93 ","$2,831,196.55 "
2,"$2,128,158.44 ","$1,790,078.26 ","$1,956,770.53 ","$2,575,689.79 "
3,"$2,444,843.18 ","$1,858,918.49 ","$2,122,871.99 ","$2,708,151.94 "
4,"$2,986,336.59 ","$1,921,618.36 ","$2,282,833.09 ","$2,834,473.71 "
2,"$2,126,505.26 ","$1,788,425.08 ","$1,955,117.35 ","$2,574,036.61 "
3,"$2,435,425.65 ","$1,849,500.96 ","$2,113,454.46 ","$2,698,734.40 "
3,"$2,442,394.81 ","$1,856,470.12 ","$2,120,423.62 ","$2,705,703.56 "
4,"$2,997,017.38 ","$1,932,299.14 ","$2,293,513.88 ","$2,845,154.50 "
3,"$2,437,346.22 ","$1,851,421.53 ","$2,115,375.03 ","$2,700,654.97 "
6,"$5,572,398.98 ","$2,060,721.60 ","$2,616,458.80 ","$3,100,820.78 "
2,"$2,120,006.57 ","$1,781,926.39 ","$1,948,618.66 ","$2,567,537.92 "
5,"$3,942,133.85 ","$1,999,248.57 ","$2,457,724.54 ","$2,975,725.84 "
6,"$5,567,087.31 ","$2,055,409.93 ","$2,611,147.13 ","$3,095,509.11 "
6,"$5,569,619.61 ","$2,057,942.23 ","$2,613,679.44 ","$3,098,041.41 "
4,"$2,986,336.59 ","$1,921,618.36 ","$2,282,833.09 ","$2,834,473.71 "
3,"$2,449,383.60 ","$1,863,458.90 ","$2,127,412.41 ","$2,712,692.35 "
5,"$3,941,226.78 ","$1,998,341.50 ","$2,456,817.47 ","$2,974,818.77 "
3,"$2,444,005.86 ","$1,858,081.17 ","$2,122,034.67 ","$2,707,314.61 "
6,"$5,568,324.68 ","$2,056,647.31 ","$2,612,384.51 ","$3,096,746.48 "
5,"$3,929,454.97 ","$1,986,569.69 ","$2,445,045.66 ","$2,963,046.96 "
6,"$5,577,976.23 ","$2,066,298.85 ","$2,622,036.05 ","$3,106,398.03 "
4,"$2,992,476.96 ","$1,927,758.73 ","$2,288,973.46 ","$2,840,614.08 "
4,"$2,984,980.00 ","$1,920,261.76 ","$2,281,476.50 ","$2,833,117.12 "
5,"$3,945,010.57 ","$2,002,125.29 ","$2,460,601.26 ","$2,978,602.56 "
6,"$5,580,698.46 ","$2,069,021.08 ","$2,624,758.28 ","$3,109,120.26 "
3,"$2,450,369.52 ","$1,864,444.82 ","$2,128,398.33 ","$2,713,678.27 "
6,"$5,568,964.71 ","$2,057,287.33 ","$2,613,024.53 ","$3,097,386.51 "
3,"$2,448,425.07 ","$1,862,500.37 ","$2,126,453.88 ","$2,711,733.82 "
2,"$2,126,505.26 ","$1,788,425.08 ","$1,955,117.35 ","$2,574,036.61 "
2,"$2,129,900.98 ","$1,791,820.79 ","$1,958,513.06 ","$2,577,432.33 "
3,"$2,447,492.79 ","$1,861,568.10 ","$2,125,521.61 ","$2,710,801.55 "
2,"$2,124,934.75 ","$1,786,854.56 ","$1,953,546.83 ","$2,572,466.10 "
4,"$2,991,639.64 ","$1,926,921.40 ","$2,288,136.14 ","$2,839,776.76 "
4,"$2,991,639.64 ","$1,926,921.40 ","$2,288,136.14 ","$2,839,776.76 "
5,"$3,944,024.66 ","$2,001,139.38 ","$2,459,615.34 ","$2,977,616.64 "
6,"$5,580,698.46 ","$2,069,021.08 ","$2,624,758.28 ","$3,109,120.26 "
5,"$3,937,035.87 ","$1,994,150.59 ","$2,452,626.56 ","$2,970,627.85 "
5,"$3,939,484.24 ","$1,996,598.96 ","$2,455,074.93 ","$2,973,076.23 "
6,"$5,582,642.91 ","$2,070,965.53 ","$2,626,702.73 ","$3,111,064.71 "
3,"$2,436,051.29 ","$1,850,126.60 ","$2,114,080.10 ","$2,699,360.04 "
2,"$2,128,158.44 ","$1,790,078.26 ","$1,956,770.53 ","$2,575,689.79 "
3,"$2,443,190.01 ","$1,857,265.31 ","$2,121,218.82 ","$2,706,498.76 "
5,"$3,933,343.87 ","$1,990,458.59 ","$2,448,934.56 ","$2,966,935.86 "
6,"$5,576,279.25 ","$2,064,601.87 ","$2,620,339.07 ","$3,104,701.05 "
2,"$2,127,321.12 ","$1,789,240.93 ","$1,955,933.20 ","$2,574,852.47 "
4,"$2,992,476.96 ","$1,927,758.73 ","$2,288,973.46 ","$2,840,614.08 "
4,"$2,993,336.62 ","$1,928,618.38 ","$2,289,833.11 ","$2,841,473.73 "
5,"$3,937,035.87 ","$1,994,150.59 ","$2,452,626.56 ","$2,970,627.85 "
6,"$5,567,699.04 ","$2,056,021.66 ","$2,611,758.87 ","$3,096,120.84 "
2,"$2,128,158.44 ","$1,790,078.26 ","$1,956,770.53 ","$2,575,689.79 "
6,"$5,580,698.46 ","$2,069,021.08 ","$2,624,758.28 ","$3,109,120.26 "
3,"$2,449,383.60 ","$1,863,458.90 ","$2,127,412.41 ","$2,712,692.35 "
6,"$5,567,087.31 ","$2,055,409.93 ","$2,611,147.13 ","$3,095,509.11 "
3,"$2,450,369.52 ","$1,864,444.82 ","$2,128,398.33 ","$2,713,678.27 "
6,"$5,573,136.71 ","$2,061,459.33 ","$2,617,196.53 ","$3,101,558.51 "
5,"$3,929,454.97 ","$1,986,569.69 ","$2,445,045.66 ","$2,963,046.96 "
2,"$2,127,321.12 ","$1,789,240.93 ","$1,955,933.20 ","$2,574,852.47 "
3,"$2,444,005.86 ","$1,858,081.17 ","$2,122,034.67 ","$2,707,314.61 "
4,"$2,985,650.32 ","$1,920,932.08 ","$2,282,146.82 ","$2,833,787.44 "
2,"$2,121,331.79 ","$1,783,251.61 ","$1,949,943.88 ","$2,568,863.14 "
4,"$2,985,650.32 ","$1,920,932.08 ","$2,282,146.82 ","$2,833,787.44 "
6,"$5,580,698.46 ","$2,069,021.08 ","$2,624,758.28 ","$3,109,120.26 "
5,"$3,934,046.69 ","$1,991,161.41 ","$2,449,637.37 ","$2,967,638.67 "
6,"$5,574,668.20 ","$2,062,990.82 ","$2,618,728.02 ","$3,103,090.00 "
4,"$2,984,325.09 ","$1,919,606.86 ","$2,280,821.59 ","$2,832,462.21 "
6,"$5,573,892.88 ","$2,062,215.50 ","$2,617,952.70 ","$3,102,314.68 "
4,"$2,990,823.79 ","$1,926,105.55 ","$2,287,320.29 ","$2,838,960.91 "
4,"$2,984,980.00 ","$1,920,261.76 ","$2,281,476.50 ","$2,833,117.12 "
3,"$2,445,702.83 ","$1,859,778.14 ","$2,123,731.65 ","$2,709,011.59 "
5,"$3,931,332.37 ","$1,988,447.09 ","$2,446,923.06 ","$2,964,924.36 "
4,"$2,987,039.41 ","$1,922,321.17 ","$2,283,535.91 ","$2,835,176.53 "
4,"$2,994,219.50 ","$1,929,501.26 ","$2,290,716.00 ","$2,842,356.62 "
3,"$2,438,702.81 ","$1,852,778.12 ","$2,116,731.63 ","$2,702,011.57 "
2,"$2,129,900.98 ","$1,791,820.79 ","$1,958,513.06 ","$2,577,432.33 "
4,"$2,998,003.30 ","$1,933,285.06 ","$2,294,499.79 ","$2,846,140.42 "
5,"$3,939,484.24 ","$1,996,598.96 ","$2,455,074.93 ","$2,973,076.23 "
3,"$2,445,702.83 ","$1,859,778.14 ","$2,123,731.65 ","$2,709,011.59 "
2,"$2,121,331.79 ","$1,783,251.61 ","$1,949,943.88 ","$2,568,863.14 "
5,"$3,935,504.37 ","$1,992,619.09 ","$2,451,095.06 ","$2,969,096.36 "
2,"$2,124,934.75 ","$1,786,854.56 ","$1,953,546.83 ","$2,572,466.10 "
6,"$5,568,324.68 ","$2,056,647.31 ","$2,612,384.51 ","$3,096,746.48 "
4,"$2,983,685.07 ","$1,918,966.83 ","$2,280,181.57 ","$2,831,822.19 "
5,"$3,941,226.78 ","$1,998,341.50 ","$2,456,817.47 ","$2,974,818.77 "
3,"$2,436,051.29 ","$1,850,126.60 ","$2,114,080.10 ","$2,699,360.04 "
4,"$2,982,447.69 ","$1,917,729.46 ","$2,278,944.19 ","$2,830,584.81 "
3,"$2,438,016.54 ","$1,852,091.85 ","$2,116,045.35 ","$2,701,325.29 "
3,"$2,443,190.01 ","$1,857,265.31 ","$2,121,218.82 ","$2,706,498.76 "
6,"$5,568,324.68 ","$2,056,647.31 ","$2,612,384.51 ","$3,096,746.48 "
6,"$5,577,116.58 ","$2,065,439.20 ","$2,621,176.40 ","$3,105,538.38 "
4,"$2,987,039.41 ","$1,922,321.17 ","$2,283,535.91 ","$2,835,176.53 "
4,"$2,994,219.50 ","$1,929,501.26 ","$2,290,716.00 ","$2,842,356.62 "
6,"$5,570,289.93 ","$2,058,612.55 ","$2,614,349.75 ","$3,098,711.73 "
6,"$5,568,324.68 ","$2,056,647.31 ","$2,612,384.51 ","$3,096,746.48 "
3,"$2,446,585.72 ","$1,860,661.03 ","$2,124,614.53 ","$2,709,894.47 "
2,"$2,126,505.26 ","$1,788,425.08 ","$1,955,117.35 ","$2,574,036.61 "
2,"$2,122,018.07 ","$1,783,937.89 ","$1,950,630.16 ","$2,569,549.42 "
6,"$5,582,642.91 ","$2,070,965.53 ","$2,626,702.73 ","$3,111,064.71 "
4,"$2,997,017.38 ","$1,932,299.14 ","$2,293,513.88 ","$2,845,154.50 "
3,"$2,440,863.31 ","$1,854,938.62 ","$2,118,892.13 ","$2,704,172.07 "
2,"$2,123,440.84 ","$1,785,360.65 ","$1,952,052.93 ","$2,570,972.19 "
2,"$2,120,661.48 ","$1,782,581.29 ","$1,949,273.56 ","$2,568,192.83 "
3,"$2,444,005.86 ","$1,858,081.17 ","$2,122,034.67 ","$2,707,314.61 "
5,"$3,937,035.87 ","$1,994,150.59 ","$2,452,626.56 ","$2,970,627.85 "
4,"$2,994,219.50 ","$1,929,501.26 ","$2,290,716.00 ","$2,842,356.62 "
6,"$5,570,976.21 ","$2,059,298.83 ","$2,615,036.03 ","$3,099,398.01 "
6,"$5,578,859.11 ","$2,067,181.73 ","$2,622,918.94 ","$3,107,280.91 "
3,"$2,440,125.58 ","$1,854,200.89 ","$2,118,154.39 ","$2,703,434.34 "
5,"$3,934,046.69 ","$1,991,161.41 ","$2,449,637.37 ","$2,967,638.67 "
5,"$3,938,646.92 ","$1,995,761.64 ","$2,454,237.61 ","$2,972,238.91 "
2,"$2,122,018.07 ","$1,783,937.89 ","$1,950,630.16 ","$2,569,549.42 "
3,"$2,448,425.07 ","$1,862,500.37 ","$2,126,453.88 ","$2,711,733.82 "
2,"$2,124,934.75 ","$1,786,854.56 ","$1,953,546.83 ","$2,572,466.10 "
3,"$2,436,691.31 ","$1,850,766.62 ","$2,114,720.12 ","$2,700,000.07 "
2,"$2,122,720.88 ","$1,784,640.70 ","$1,951,332.97 ","$2,570,252.23 "
6,"$5,568,324.68 ","$2,056,647.31 ","$2,612,384.51 ","$3,096,746.48 "
2,"$2,120,661.48 ","$1,782,581.29 ","$1,949,273.56 ","$2,568,192.83 "
2,"$2,124,934.75 ","$1,786,854.56 ","$1,953,546.83 ","$2,572,466.10 "
6,"$5,581,656.99 ","$2,069,979.61 ","$2,625,716.81 ","$3,110,078.79 "
2,"$2,121,331.79 ","$1,783,251.61 ","$1,949,943.88 ","$2,568,863.14 "
2,"$2,128,158.44 ","$1,790,078.26 ","$1,956,770.53 ","$2,575,689.79 "
2,"$2,130,808.05 ","$1,792,727.87 ","$1,959,420.14 ","$2,578,339.40 "
3,"$2,448,425.07 ","$1,862,500.37 ","$2,126,453.88 ","$2,711,733.82 "
5,"$3,940,343.89 ","$1,997,458.61 ","$2,455,934.58 ","$2,973,935.88 "
3,"$2,445,702.83 ","$1,859,778.14 ","$2,123,731.65 ","$2,709,011.59 "
5,"$3,941,226.78 ","$1,998,341.50 ","$2,456,817.47 ","$2,974,818.77 "
6,"$5,573,136.71 ","$2,061,459.33 ","$2,617,196.53 ","$3,101,558.51 "
6,"$5,579,766.19 ","$2,068,088.81 ","$2,623,826.01 ","$3,108,187.99 "
6,"$5,568,964.71 ","$2,057,287.33 ","$2,613,024.53 ","$3,097,386.51 "
5,"$3,937,035.87 ","$1,994,150.59 ","$2,452,626.56 ","$2,970,627.85 "
2,"$2,124,934.75 ","$1,786,854.56 ","$1,953,546.83 ","$2,572,466.10 "
4,"$2,986,336.59 ","$1,921,618.36 ","$2,282,833.09 ","$2,834,473.71 "
6,"$5,570,289.93 ","$2,058,612.55 ","$2,614,349.75 ","$3,098,711.73 "
6,"$5,572,398.98 ","$2,060,721.60 ","$2,616,458.80 ","$3,100,820.78 "
3,"$2,436,051.29 ","$1,850,126.60 ","$2,114,080.10 ","$2,699,360.04 "
